episode_id,el,plate,led,n_cand,max_eqe,chance,cls_gp,cls_gp_picks,cls_xrd,cls_xrd_picks,fm_prior,fm_prior_picks,fm_xrd,fm_xrd_picks,fm_xrd_nogap,fm_xrd_nogap_picks,fm_xrd_nomace,fm_xrd_nomace_picks
4014_20200318.204926_CA3,Ag,4014,CA3,29,0.93606,0.25325,1.0,14 20 12,0.11634,14 28 11,1.0,9 2 12,0.11634,14 28 11,0.11634,14 28 11,0.11634,14 28 11
4014_20200318.204926_CA4,Ag,4014,CA4,29,1.92897,0.18872,1.0,14 20 12,0.14754,14 28 11,1.0,9 2 12,0.14754,14 28 11,0.14754,14 28 11,0.14754,14 28 11
4130_20200218.144235_CA1,Cu,4130,CA1,29,0.12709,0.32852,0.03322,14 11 7,0.0286,14 9 3,0.04424,15 12 8,0.03322,14 9 11,0.03322,14 9 11,0.02042,14 10 7
4130_20200218.144235_CA2,Cu,4130,CA2,29,0.01885,0.38702,0.15044,14 11 7,0.12096,14 9 3,0.1696,15 12 8,0.15044,14 9 11,0.15044,14 9 11,0.1107,14 10 7
4130_20200218.144235_CA3,Cu,4130,CA3,29,0.01759,0.50662,0.29562,14 11 7,0.21224,14 9 3,0.34496,15 12 8,0.29562,14 9 11,0.29562,14 9 11,0.22413,14 10 7
4130_20200218.144235_CA4,Cu,4130,CA4,29,0.01619,0.61785,0.35259,14 11 7,0.27793,14 9 0,0.43259,15 12 8,1.0,14 9 18,1.0,14 9 18,0.64963,14 10 6
4130_20200218.163122_CA1,Cu,4130,CA1,30,0.14148,0.32196,0.05507,15 12 19,0.04122,14 10 6,0.03671,15 12 5,0.04122,14 10 7,0.04122,14 10 7,0.04122,14 10 7
4130_20200218.163122_CA2,Cu,4130,CA2,30,0.0158,0.34207,0.08275,15 12 8,0.09474,14 9 4,0.08275,15 12 8,0.16287,14 10 7,0.16287,14 10 7,0.09474,14 9 6
4130_20200218.163122_CA3,Cu,4130,CA3,30,0.00354,0.49762,0.04162,15 0 5,0.4054,14 9 4,0.04162,15 0 5,0.4054,14 10 7,0.4054,14 10 7,0.4054,14 9 6
4130_20200218.163122_CA4,Cu,4130,CA4,30,0.00149,0.33272,0.16437,15 0 5,0.02874,14 9 4,0.16437,15 0 5,0.02299,14 10 7,0.02299,14 10 7,0.02874,14 9 6
4130_20220623.180314_CA1,Cu,4130,CA1,20,0.10488,0.65019,0.81848,10 13 7,0.70383,10 6 1,0.81848,10 7 4,0.70383,10 6 1,0.70383,10 6 1,0.70383,10 6 1
4130_20220623.180314_CA2,Cu,4130,CA2,20,0.02401,0.65728,1.0,10 13 7,0.77874,10 6 0,1.0,10 7 4,0.77874,10 6 1,0.77874,10 6 1,0.77874,10 6 1
4130_20220623.180314_CA3,Cu,4130,CA3,20,0.0104,0.47768,0.56604,10 13 7,0.57862,10 6 1,0.56604,10 7 4,0.57862,10 6 1,0.57862,10 6 1,0.57862,10 6 2
4130_20220623.180314_CA4,Cu,4130,CA4,20,0.00484,0.54735,0.68966,10 13 7,0.75862,10 6 0,0.68966,10 7 4,0.75862,10 6 1,0.75862,10 6 1,0.75862,10 6 1
5406_20200218.143845_CA1,Cr,5406,CA1,29,0.05329,0.71105,0.53574,14 17 21,0.88719,9 19 25,0.60936,14 19 22,0.88719,9 25 20,0.88719,9 25 20,0.88719,9 25 20
5406_20200218.143845_CA2,Cr,5406,CA2,29,0.26744,0.17333,0.05941,14 17 21,0.07892,9 19 25,0.04998,14 19 22,0.05925,9 26 21,0.05925,9 26 21,0.05925,9 26 21
5406_20200218.143845_CA3,Cr,5406,CA3,29,0.07653,0.5077,0.4613,14 17 10,0.44418,9 19 25,0.4613,14 19 9,0.44418,9 25 20,0.44418,9 25 20,0.44418,9 25 20
5406_20200218.143845_CA4,Cr,5406,CA4,29,0.44042,0.19479,0.06112,14 17 10,0.06082,9 19 28,0.06112,14 19 9,0.06243,9 25 20,0.06243,9 25 20,0.06243,9 25 20
5406_20200218.162452_CA1,Cr,5406,CA1,28,0.07627,0.62054,0.54033,14 11 18,1.0,9 27 20,0.68939,13 19 23,1.0,9 27 22,1.0,9 27 22,1.0,9 27 22
5406_20200218.162452_CA2,Cr,5406,CA2,28,0.02237,0.67434,0.72573,14 11 18,1.0,9 27 20,0.70653,13 19 23,1.0,9 27 22,1.0,9 27 22,1.0,9 27 22
5406_20200218.162452_CA3,Cr,5406,CA3,28,0.00869,0.86852,0.8967,14 11 18,0.95275,9 27 20,0.9,13 19 23,0.95275,9 27 22,0.95275,9 27 22,0.95275,9 27 22
5406_20200218.162452_CA4,Cr,5406,CA4,28,0.00457,0.5741,0.54972,14 0 27,0.82552,9 27 20,0.0,13 19 0,0.54972,9 27 22,0.54972,9 27 22,0.54972,9 27 22
5407_20200218.144415_CA1,Cr,5407,CA1,29,0.08203,0.63697,0.4078,14 11 18,0.4078,9 14 18,0.90111,14 20 23,0.21687,9 14 0,0.21687,9 14 0,0.21687,9 14 0
5407_20200218.144415_CA2,Cr,5407,CA2,29,0.03391,0.70718,0.53864,14 11 18,0.53864,9 14 18,0.91518,14 20 23,0.39286,9 14 0,0.39286,9 14 0,0.39286,9 14 0
5407_20200218.144415_CA3,Cr,5407,CA3,29,0.03355,0.8452,0.84608,14 11 8,0.84703,9 14 18,0.86402,14 20 23,0.83254,9 14 0,0.83254,9 14 0,0.83254,9 14 0
5407_20200218.144415_CA4,Cr,5407,CA4,29,0.03181,0.82984,0.8405,14 11 18,0.8405,9 14 18,0.8405,14 20 23,0.91365,9 14 0,0.91365,9 14 0,0.91365,9 14 0
5407_20200218.162628_CA1,Cr,5407,CA1,28,0.13483,0.53639,0.54613,14 18 21,0.29605,9 18 14,0.74633,13 19 22,0.29605,9 0 18,0.29605,9 0 18,0.29605,9 0 18
5407_20200218.162628_CA2,Cr,5407,CA2,28,0.0455,0.52508,0.58071,14 18 21,0.30457,9 18 14,0.77868,13 19 22,0.30457,9 0 18,0.30457,9 0 18,0.30457,9 0 18
5407_20200218.162628_CA3,Cr,5407,CA3,28,0.01825,0.558,0.62827,14 18 21,0.34031,9 18 14,0.88482,13 19 23,0.34031,9 0 18,0.34031,9 0 18,0.34031,9 0 18
5407_20200218.162628_CA4,Cr,5407,CA4,28,0.46757,0.11433,0.00475,14 18 10,0.00475,9 18 14,0.01319,13 19 22,0.00348,9 0 18,0.00348,9 0 18,0.00348,9 0 18
5415_20200218.143926_CA1,Fe,5415,CA1,30,0.0767,0.48919,0.36533,15 12 8,1.0,24 29 0,0.25643,13 19 24,0.31711,24 29 17,0.31711,24 29 17,0.31711,24 29 17
5415_20200218.143926_CA2,Fe,5415,CA2,30,0.10832,0.35957,0.09867,15 12 9,1.0,24 29 0,0.04665,13 19 26,0.02297,24 29 17,0.02297,24 29 17,0.02297,24 29 17
5415_20200218.143926_CA3,Fe,5415,CA3,30,0.10207,0.32297,0.04987,15 12 19,1.0,24 0 5,0.00352,13 19 27,1.0,24 16 0,1.0,24 16 0,1.0,24 16 0
5415_20200218.143926_CA4,Fe,5415,CA4,30,0.01784,0.45378,0.30733,15 12 18,1.0,24 0 5,0.08944,13 19 24,1.0,24 16 0,1.0,24 16 0,1.0,24 16 0
5415_20200218.161125_CA1,Fe,5415,CA1,30,0.04803,0.68841,0.79479,15 19 24,0.66358,24 29 17,0.68103,12 18 23,0.66358,24 29 17,0.66358,24 29 17,0.66358,24 29 17
