episode_id,source,chem,plate,n_cand,dims,max_merit,chance,cls_gp,cls_xrd,fm_prior,fm_xrd,fm_xrd_nogap,fm_xrd_nomace,cluster
5417_20200218.145212_CA4,base,Sb-Zn,5417,30,1,0.0172742047829115,0.19424,0.2375,0.03264,0.05674,0.03264,0.03264,0.0,Sb-Zn
5417_20200218.16281_CA1,base,Sb-Zn,5417,26,1,1.093965835031,0.46785,0.502,0.41022,0.41022,0.502,0.502,0.41022,Sb-Zn
5417_20200218.16281_CA2,base,Sb-Zn,5417,26,1,0.0375415742793792,0.50021,0.87572,0.28473,0.28473,0.87572,0.87572,0.28473,Sb-Zn
5417_20200218.16281_CA3,base,Sb-Zn,5417,26,1,0.0045575589459084,0.5156,0.37526,0.31447,0.20126,0.31447,0.31447,0.31447,Sb-Zn
5417_20200218.16281_CA4,base,Sb-Zn,5417,26,1,0.0028532338308457,0.4519,0.37237,0.36637,0.37237,0.36637,0.36637,0.36637,Sb-Zn
5418_20200218.145757_CA1,base,In-Sb,5418,28,1,0.149356058059588,0.6986,0.59754,0.62558,1.0,0.62558,0.62558,0.62558,In-Sb
5418_20200218.145757_CA2,base,In-Sb,5418,28,1,0.0484445970695971,0.80717,0.7449,0.79568,0.84276,0.79568,0.79568,0.79568,In-Sb
5418_20200218.145757_CA3,base,In-Sb,5418,28,1,0.106543689320388,0.78676,0.79166,0.79166,0.81762,0.79166,0.79166,0.79166,In-Sb
5418_20200218.162858_CA1,base,In-Sb,5418,30,1,0.42913201224083,0.53431,0.44543,0.7024,1.0,0.93105,0.93105,0.93105,In-Sb
5418_20200218.162858_CA2,base,In-Sb,5418,30,1,0.0225656319290466,0.49229,0.2868,0.77953,0.84135,1.0,1.0,1.0,In-Sb
5418_20200218.162858_CA3,base,In-Sb,5418,30,1,0.0057327785483125,0.38457,0.17167,0.24167,0.095,0.24167,0.24167,0.24167,In-Sb
5435_20200218.14454_CA1,base,Pb-Sb,5435,29,1,0.0446793650793651,0.57097,0.03145,0.94272,0.83659,0.94272,0.94272,0.94272,Pb-Sb
5435_20200218.14454_CA2,base,Pb-Sb,5435,29,1,0.0368094119620837,0.51253,0.06455,0.88143,0.99835,0.88143,0.88143,0.88143,Pb-Sb
5435_20200218.14454_CA3,base,Pb-Sb,5435,29,1,0.0397320168529035,0.41178,0.0106,0.68056,1.0,0.68056,0.68056,0.68056,Pb-Sb
5435_20200218.14454_CA4,base,Pb-Sb,5435,29,1,0.0177476459510358,0.34812,0.00104,0.60351,0.80099,0.60351,0.60351,0.60351,Pb-Sb
5435_20200218.163032_CA1,base,Pb-Sb,5435,29,1,0.077045980721574,0.48194,0.50724,0.68904,0.54758,0.68904,0.68904,0.68904,Pb-Sb
5435_20200218.163032_CA2,base,Pb-Sb,5435,29,1,0.0792636363636364,0.45559,0.33236,0.61128,0.43353,0.61128,0.61128,0.61128,Pb-Sb
5435_20200218.163032_CA3,base,Pb-Sb,5435,29,1,0.0933869625520111,0.39214,0.00253,0.49785,0.29353,0.49785,0.49785,0.49785,Pb-Sb
5435_20200218.163032_CA4,base,Pb-Sb,5435,29,1,0.034204464344942,0.367,0.00401,0.49474,0.24674,0.49474,0.49474,0.49474,Pb-Sb
